Idade,Curso_Tecnico,Anos_Para_Formar,Gosta_Matematica,Gosta_Programacao,Gosta_Biologia,Gosta_Fisica,Gosta_Quimica,Gosta_Arte_Design,Gosta_Comunicacao,Gosta_Negocios,Gosta_Historia,Gosta_Geografia,Graduacao_Indicada
39,Sim,5,4,2,3,5,4,2,1,5,1,2,Administração
36,Sim,4,4,1,1,2,1,3,3,5,4,1,Administração
39,Sim,5,4,2,3,4,1,5,1,5,1,3,Administração
32,Não,3,1,3,5,1,2,3,3,5,2,4,Administração
24,Sim,7,3,2,1,1,3,5,1,2,2,2,Design
37,Sim,3,4,2,5,4,4,4,1,4,1,2,Odontologia
17,Não,5,1,3,5,2,4,2,2,5,2,3,Medicina
24,Não,5,5,1,2,2,2,5,5,4,5,1,Direito
45,Não,6,2,5,2,2,3,5,2,5,1,3,Administração
48,Não,7,1,1,2,4,5,3,3,3,5,4,Licenciatura em História
21,Não,5,1,1,2,5,4,1,4,2,1,1,Licenciatura em Matemática
38,Sim,4,4,4,1,2,5,1,5,5,4,3,Direito
50,Sim,3,2,4,3,5,4,5,4,4,4,5,Direito
17,Não,4,2,3,1,3,2,1,1,1,2,2,Odontologia
42,Não,5,4,4,2,1,3,3,1,3,5,4,Licenciatura em Matemática
26,Sim,5,3,5,4,5,1,1,4,4,1,5,Ciência da Computação
46,Não,4,1,3,5,3,2,2,4,5,1,3,Administração
34,Sim,4,4,4,2,4,1,5,5,5,1,1,Administração
33,Sim,6,3,2,2,3,5,3,5,4,1,4,Administração
42,Não,3,4,4,5,3,5,5,3,5,3,1,Odontologia
24,Sim,4,5,5,5,1,2,4,3,5,2,1,Ciência da Computação
28,Sim,3,3,4,3,3,5,3,2,4,5,2,Ciência da Computação
43,Sim,7,3,3,1,3,4,1,2,4,5,5,Administração
24,Sim,5,2,2,5,1,3,5,1,2,5,3,Medicina
41,Não,4,1,3,1,4,2,3,1,1,5,4,Licenciatura em História
20,Não,7,4,2,2,2,5,4,1,4,3,1,Administração
49,Não,5,4,2,4,5,5,3,2,4,4,3,Odontologia
17,Não,6,1,5,4,5,5,3,5,2,3,2,Medicina
35,Não,5,1,1,3,3,5,4,4,5,3,1,Direito
47,Sim,4,2,5,3,2,1,2,3,1,1,2,Psicologia
32,Sim,7,1,1,3,2,4,2,3,3,5,3,Psicologia
30,Sim,7,5,1,4,3,4,2,2,4,2,1,Medicina
21,Sim,7,2,5,5,5,5,1,2,1,3,2,Medicina
42,Não,5,3,4,5,5,1,5,4,3,4,2,Direito
44,Não,3,1,5,5,2,5,1,2,1,5,4,Odontologia
18,Sim,3,3,3,2,2,3,1,3,2,2,1,Medicina
22,Não,5,2,3,1,3,4,4,2,3,5,4,Design
25,Sim,4,5,3,2,5,2,1,3,3,3,5,Engenharia
49,Sim,5,5,3,3,5,3,5,1,1,3,5,Design
41,Não,3,1,1,3,3,1,3,1,4,2,5,Administração
29,Não,5,5,1,5,3,2,4,4,3,3,2,Direito
25,Não,7,4,5,2,4,3,2,2,4,3,3,Administração
29,Sim,4,2,2,2,2,5,1,1,2,1,2,Engenharia
47,Não,4,5,2,5,2,5,4,3,2,5,4,Odontologia
27,Sim,6,2,1,1,2,4,1,4,3,1,1,Licenciatura em Geografia
20,Não,5,2,4,1,1,2,5,5,4,4,2,Direito
50,Sim,7,4,1,2,1,2,2,3,2,4,1,Licenciatura em Matemática
20,Não,5,1,4,2,3,1,3,5,2,3,4,Direito
35,Sim,6,2,2,1,4,4,3,1,1,4,4,Licenciatura em História
22,Sim,6,4,1,4,1,5,2,3,1,1,3,Medicina
50,Não,5,5,5,4,2,2,3,3,3,2,3,Psicologia
34,Sim,5,3,3,3,4,2,2,5,1,3,3,Direito
29,Não,5,1,2,2,5,4,5,5,3,1,3,Design
39,Não,3,3,1,1,3,2,5,2,5,4,5,Administração
35,Não,6,4,1,5,1,2,3,2,1,3,1,Educação Física
27,Sim,4,2,3,5,4,3,4,5,5,4,3,Medicina
17,Não,3,4,2,4,1,2,1,5,1,2,4,Educação Física
40,Sim,7,1,5,1,1,1,3,5,1,2,3,Comunicação Social
23,Não,4,1,5,4,3,4,3,5,3,1,3,Medicina
41,Não,4,5,5,4,1,4,1,4,5,5,3,Odontologia
37,Sim,4,4,2,2,3,1,5,3,1,5,5,Design
31,Sim,6,1,5,2,3,3,3,4,4,3,5,Direito
17,Não,7,4,4,1,5,3,2,3,4,1,5,Administração
28,Sim,3,5,1,3,2,5,1,1,1,1,3,Educação Física
23,Não,7,5,4,2,5,2,1,1,1,3,2,Design
31,Sim,3,4,2,3,1,1,4,5,1,3,1,Direito
37,Sim,6,1,5,4,5,4,5,2,5,2,1,Odontologia
35,Não,7,2,5,4,4,3,5,5,3,3,5,Direito
45,Sim,4,2,5,1,5,1,3,4,5,4,3,Direito
41,Não,7,5,3,1,5,5,1,4,4,1,1,Administração
49,Não,6,1,3,4,5,5,2,3,3,3,1,Odontologia
48,Sim,6,5,5,3,3,2,5,3,1,3,3,Design
42,Não,6,5,1,3,2,3,2,4,3,3,3,Direito
27,Sim,3,5,3,4,5,5,4,3,3,2,4,Engenharia
24,Sim,7,5,2,5,5,2,4,4,4,4,4,Engenharia
30,Não,4,4,5,5,2,3,2,2,2,2,1,Medicina
26,Sim,4,4,1,3,5,5,2,2,1,3,1,Engenharia
18,Não,5,1,3,5,2,4,3,5,5,1,4,Medicina
25,Não,6,1,2,2,5,4,1,1,5,4,4,Administração
19,Sim,4,3,3,1,5,1,1,2,3,1,3,Comunicação Social
37,Sim,6,2,2,1,4,4,4,4,4,2,5,Administração
42,Não,4,4,5,5,4,4,5,5,5,3,1,Odontologia
24,Não,7,1,1,4,4,3,5,3,4,2,2,Medicina
18,Não,5,5,4,2,3,2,3,2,3,4,3,Psicologia
22,Sim,6,4,3,5,1,4,5,3,1,2,1,Medicina
44,Sim,3,2,1,4,4,3,4,1,3,1,2,Design
45,Não,3,4,4,4,1,4,4,5,4,4,1,Odontologia
42,Sim,4,2,5,3,2,5,1,3,4,2,2,Administração
41,Não,7,3,2,2,1,3,3,4,4,3,4,Direito
28,Sim,6,1,5,2,2,2,4,3,4,3,5,Administração
21,Não,5,2,1,3,1,1,1,2,5,5,4,Administração
50,Não,7,3,1,4,2,2,3,5,2,2,3,Psicologia
31,Não,4,4,3,4,4,1,3,3,3,3,4,Psicologia
31,Não,7,1,4,5,4,4,2,5,2,2,4,Medicina
39,Não,5,2,4,1,4,3,5,1,3,2,3,Design
22,Não,7,2,3,3,2,2,5,2,1,3,5,Design
37,Sim,6,1,5,5,3,5,1,3,3,4,2,Odontologia
39,Não,4,4,4,2,1,2,5,2,4,4,1,Administração
32,Não,5,4,5,2,2,1,5,5,2,5,3,Direito
31,Não,4,5,2,2,4,4,4,4,1,2,2,Design
41,Não,6,4,1,1,1,3,1,1,3,2,2,Licenciatura em Matemática
27,Não,5,1,2,3,4,4,1,1,5,2,2,Administração
31,Sim,5,3,3,1,3,5,5,2,3,3,2,Design
20,Não,4,1,4,4,5,1,5,3,5,3,3,Administração
37,Não,7,2,2,4,4,1,5,4,2,2,3,Design
29,Não,7,5,1,2,5,1,3,2,4,5,1,Administração
38,Não,3,5,4,3,3,4,1,4,4,5,4,Direito
35,Sim,3,3,5,5,5,5,3,3,2,2,4,Odontologia
50,Sim,5,2,4,4,4,2,5,1,1,1,3,Design
30,Não,4,4,1,5,3,1,5,4,2,4,3,Direito
20,Não,5,4,4,5,1,1,1,5,4,1,2,Administração
43,Sim,4,4,2,4,5,1,4,3,4,2,2,Administração
45,Não,6,1,3,5,5,1,4,3,5,5,3,Administração
44,Sim,3,4,2,5,2,5,1,2,2,2,5,Odontologia
24,Não,5,2,4,5,4,3,1,2,5,4,2,Medicina
32,Sim,6,5,5,1,4,1,3,5,5,2,3,Administração
46,Sim,7,1,4,3,5,3,4,3,3,1,1,Design
34,Não,3,4,1,2,5,4,2,2,4,1,3,Administração
18,Não,4,2,2,1,5,4,3,4,2,4,4,Direito
29,Não,7,3,2,5,4,2,2,1,2,1,1,Educação Física
20,Não,7,2,4,1,2,1,2,3,5,2,4,Administração
42,Sim,6,5,3,1,5,4,1,5,2,5,1,Direito
41,Sim,5,2,4,3,4,5,4,4,5,5,5,Direito
46,Não,5,2,3,3,4,5,4,3,3,3,4,Design
27,Sim,6,1,4,5,2,3,5,1,5,2,3,Medicina
23,Não,7,5,2,1,2,5,3,2,3,3,1,Odontologia
47,Não,3,4,3,3,2,1,3,5,4,5,5,Direito
26,Não,7,5,1,3,1,4,1,1,3,2,1,Educação Física
29,Sim,6,3,3,1,1,4,4,2,1,5,2,Design
47,Não,7,5,5,3,5,4,1,1,2,5,5,Licenciatura em Matemática
23,Sim,7,1,1,4,4,1,3,3,5,5,1,Administração
36,Não,7,4,4,3,2,2,5,2,5,3,3,Administração
20,Sim,7,5,5,5,1,3,1,2,5,5,2,Ciência da Computação
23,Sim,3,4,1,5,5,5,1,4,3,1,5,Engenharia
17,Sim,4,1,4,2,4,3,3,1,1,4,3,Odontologia
29,Sim,4,2,3,2,2,3,4,5,4,1,3,Administração
38,Não,5,3,4,1,1,4,3,2,4,3,1,Administração
37,Sim,4,5,2,5,1,5,5,2,4,1,2,Odontologia
38,Sim,4,4,1,2,4,3,4,1,4,5,3,Administração
44,Não,4,5,3,1,1,4,5,4,5,5,2,Direito
25,Sim,7,1,4,2,4,1,3,3,4,1,3,Administração
42,Não,7,2,3,3,2,4,4,5,4,5,4,Direito
25,Sim,3,1,3,4,4,4,3,2,2,5,5,Medicina
31,Não,7,4,1,2,2,1,1,2,1,1,4,Licenciatura em Matemática
26,Sim,7,5,3,3,3,5,1,4,4,3,1,Direito
40,Sim,4,4,1,4,1,5,4,5,1,3,5,Odontologia
24,Sim,3,1,3,2,3,5,4,1,3,3,1,Design
40,Sim,3,5,3,5,4,2,5,2,2,4,2,Design
32,Não,4,4,4,4,2,3,3,1,1,3,2,Medicina
42,Sim,4,5,5,3,1,4,5,4,4,5,5,Direito
43,Não,3,3,1,5,5,2,3,2,5,3,2,Administração
20,Não,6,1,2,3,1,3,2,3,2,4,3,Educação Física
40,Não,4,1,1,2,5,4,5,2,4,5,1,Administração
35,Não,4,3,3,3,1,5,4,3,3,1,4,Design
26,Sim,3,2,5,1,2,1,1,1,2,4,3,Comunicação Social
41,Sim,6,4,1,3,4,2,3,1,3,3,3,Licenciatura em Matemática
34,Sim,6,2,3,3,2,1,5,3,1,4,5,Design
35,Sim,5,5,2,5,1,5,3,1,2,5,3,Odontologia
26,Sim,6,4,4,3,5,3,5,5,4,5,4,Engenharia
49,Sim,4,4,4,4,2,1,4,2,1,3,4,Design
21,Não,7,4,1,3,2,1,2,4,4,5,2,Direito
50,Não,3,3,1,2,5,3,5,5,4,3,4,Direito
49,Sim,4,1,2,1,3,2,3,5,4,3,2,Direito
37,Sim,3,3,4,1,1,2,5,4,3,1,3,Design
33,Sim,6,3,3,3,2,4,5,1,5,1,5,Administração
38,Não,3,3,1,1,2,4,3,1,4,1,2,Administração
31,Sim,4,2,5,5,1,5,5,4,4,5,1,Medicina
44,Sim,7,3,4,1,5,3,1,5,3,1,1,Design
23,Sim,4,1,3,2,1,3,2,2,1,1,4,Design
48,Não,5,4,4,3,4,4,4,5,4,4,4,Direito
27,Não,3,2,2,1,4,2,2,2,1,4,1,Odontologia
26,Sim,4,3,5,2,2,2,5,2,3,5,5,Ciência da Computação
25,Não,6,3,3,1,4,4,5,1,3,1,1,Design
30,Não,6,4,3,2,1,3,2,2,2,4,5,Design
29,Não,4,4,1,3,2,1,2,3,2,2,2,Psicologia
41,Sim,5,2,2,2,4,1,3,3,5,2,1,Administração
18,Sim,3,1,2,1,5,5,3,5,2,2,2,Design
23,Não,5,2,3,2,4,2,4,5,2,1,3,Design
37,Não,7,4,4,3,5,3,2,3,1,5,1,Psicologia
34,Não,4,1,3,2,4,2,1,5,2,5,2,Direito
19,Sim,5,3,3,5,5,1,2,1,5,2,2,Administração
27,Não,7,3,3,1,1,3,2,3,2,4,3,Administração
40,Não,5,5,3,2,1,4,2,4,5,3,2,Direito
35,Sim,7,4,3,5,3,1,5,1,5,4,3,Administração
20,Não,6,5,3,5,1,1,2,5,4,4,3,Direito
42,Não,6,2,4,4,4,3,2,3,5,2,2,Administração
48,Sim,4,2,5,2,2,2,5,5,1,4,3,Direito
49,Não,5,1,5,4,5,1,4,5,4,2,5,Administração
19,Não,6,4,1,5,1,5,5,5,3,1,5,Medicina
25,Não,3,1,5,3,2,1,4,5,1,1,3,Design
24,Não,6,1,4,2,5,2,1,4,1,5,2,Direito
49,Sim,6,2,3,4,5,4,1,2,5,4,3,Odontologia
22,Sim,5,2,2,1,5,1,5,1,5,2,1,Administração
20,Sim,7,4,4,3,1,3,3,4,3,2,1,Ciência da Computação
29,Não,3,2,2,4,5,2,3,5,1,4,5,Direito
18,Sim,3,4,1,2,3,1,4,3,4,4,4,Administração
21,Sim,7,5,4,1,1,4,4,5,1,1,1,Ciência da Computação
43,Não,5,3,3,3,2,3,1,3,3,3,1,Psicologia
48,Sim,6,5,3,5,3,5,1,1,1,1,3,Odontologia
37,Não,7,2,4,4,3,1,3,2,2,2,5,Educação Física
24,Não,3,3,4,3,1,1,1,5,1,3,1,Direito
24,Não,3,3,3,5,5,2,5,2,5,4,1,Administração
19,Sim,6,1,2,2,3,4,5,1,4,4,1,Administração
19,Sim,6,3,4,2,4,2,1,4,1,4,2,Ciência da Computação
38,Não,4,4,3,5,2,5,4,5,1,5,4,Odontologia
22,Sim,7,2,5,3,4,5,2,4,5,5,2,Direito
18,Não,6,2,4,4,1,1,5,1,3,3,3,Design
39,Sim,4,1,1,2,3,5,5,4,3,5,3,Direito
18,Sim,5,1,1,2,5,3,1,4,2,5,5,Direito
33,Sim,3,2,4,3,5,1,3,3,5,1,2,Administração
50,Sim,7,1,3,2,3,3,5,3,3,4,5,Design
39,Sim,5,3,2,1,3,5,4,3,3,3,1,Design
46,Não,7,3,4,5,5,2,3,5,5,1,5,Administração
24,Sim,7,4,1,4,2,1,2,1,5,3,4,Administração
38,Sim,6,1,2,3,1,2,4,3,5,4,1,Administração
21,Sim,4,2,5,1,2,1,1,1,2,3,3,Licenciatura em Geografia
29,Sim,7,5,2,2,5,2,3,1,1,3,3,Engenharia
45,Sim,5,2,5,2,1,4,5,1,4,5,1,Administração
47,Não,7,5,1,1,1,1,4,1,1,3,1,Design
32,Não,4,5,5,2,5,1,5,3,5,5,2,Administração
46,Não,3,4,2,5,5,3,1,4,4,5,3,Direito
32,Sim,7,5,1,2,3,4,4,1,5,4,1,Administração
28,Sim,5,3,2,4,3,2,1,5,3,3,3,Direito
33,Não,3,3,4,5,3,4,4,5,3,5,4,Medicina
32,Não,3,4,2,3,5,2,4,5,5,5,1,Direito
28,Não,6,2,4,5,2,1,5,2,1,2,5,Design
24,Não,6,2,4,3,1,3,5,4,3,5,5,Direito
36,Sim,7,2,5,3,2,2,5,1,4,5,4,Administração
19,Não,5,2,4,5,4,1,4,1,4,3,3,Administração
32,Sim,6,3,5,4,2,5,5,3,5,4,2,Medicina
46,Não,4,3,4,2,4,5,4,4,5,4,3,Direito
39,Sim,4,4,1,5,4,5,4,4,1,4,1,Odontologia
44,Sim,3,4,5,3,1,1,3,5,3,3,4,Direito
21,Sim,3,4,2,5,1,1,5,1,2,1,3,Design
36,Não,3,2,5,3,4,2,1,4,3,5,2,Direito
17,Sim,4,2,1,3,5,3,2,4,3,3,2,Direito
46,Sim,6,3,4,1,4,2,5,5,3,2,4,Design
37,Não,6,3,1,4,3,4,4,1,5,4,1,Odontologia
36,Não,7,1,3,4,1,1,1,5,5,3,4,Direito
22,Não,5,1,1,3,2,1,4,5,3,2,1,Design
38,Não,4,2,1,3,1,3,3,5,5,2,4,Administração
34,Não,3,3,1,2,5,2,1,5,1,2,4,Licenciatura em Geografia
24,Não,5,2,2,3,3,2,1,1,4,2,4,Administração
48,Sim,3,5,2,3,5,1,3,3,4,3,3,Administração
49,Sim,5,1,1,4,2,5,4,5,4,1,5,Odontologia
32,Não,5,4,3,3,1,2,3,1,1,3,5,Educação Física
28,Não,6,2,3,2,2,4,3,1,3,1,2,Engenharia
50,Sim,7,5,5,1,3,5,2,4,2,1,3,Licenciatura em Matemática
30,Sim,7,4,1,1,2,5,5,4,5,2,1,Administração
49,Sim,3,5,5,2,4,2,3,3,2,3,3,Licenciatura em Matemática
39,Não,4,3,4,3,3,5,1,2,3,5,4,Educação Física
18,Sim,7,3,3,2,5,4,1,1,1,5,1,Psicologia
37,Sim,4,3,4,1,5,2,4,3,3,5,1,Design
18,Não,3,4,4,4,2,3,1,4,3,3,4,Medicina
43,Não,4,4,1,3,3,2,2,3,5,1,3,Administração
25,Não,5,3,3,3,2,1,3,1,1,2,2,Educação Física
17,Sim,5,4,5,5,4,3,4,3,4,5,4,Engenharia
27,Não,3,3,4,3,3,2,2,4,4,5,3,Direito
19,Sim,4,2,1,5,1,5,5,4,2,4,4,Medicina
39,Sim,4,3,2,5,5,1,3,5,5,2,2,Administração
42,Não,3,1,3,4,2,1,4,3,1,1,4,Design
20,Sim,7,2,2,5,4,3,4,2,1,5,1,Medicina
34,Não,6,3,5,5,5,4,3,2,4,5,3,Medicina
22,Não,7,1,5,5,3,1,1,4,4,5,2,Direito
38,Não,6,3,5,5,5,2,3,3,1,1,2,Psicologia
31,Não,4,2,3,5,5,5,4,1,5,4,3,Medicina
38,Sim,6,3,4,2,1,3,4,2,2,3,4,Design
28,Não,6,4,1,5,1,4,4,2,1,5,1,Medicina
34,Sim,4,3,4,2,4,5,4,5,1,3,5,Direito
46,Sim,5,2,3,2,4,4,3,2,4,1,1,Administração
40,Não,6,5,2,2,2,3,4,5,1,1,4,Design
46,Sim,3,3,1,3,1,3,1,3,1,4,4,Psicologia
30,Não,7,4,5,2,3,4,4,4,5,4,1,Direito
22,Não,4,2,2,3,2,1,5,4,1,5,3,Direito
19,Não,4,1,4,2,3,3,4,3,1,2,3,Design
32,Sim,6,5,1,2,1,4,2,4,5,4,1,Direito
23,Não,5,3,5,2,3,1,1,4,4,2,5,Administração
30,Não,5,2,1,4,3,1,5,3,5,3,4,Administração
25,Sim,7,4,4,3,1,3,2,1,5,2,4,Ciência da Computação
31,Não,7,4,3,3,1,2,1,2,2,5,4,Educação Física
37,Não,5,2,4,4,5,4,4,5,4,1,5,Odontologia
18,Não,5,4,3,5,3,5,4,4,4,4,5,Medicina
43,Não,5,5,5,2,2,2,4,3,1,5,1,Design
18,Não,6,1,4,1,4,1,4,1,2,1,1,Design
34,Não,3,4,4,3,5,5,1,1,5,1,3,Administração
30,Sim,7,4,4,3,4,2,3,2,2,3,3,Educação Física
36,Não,4,1,4,1,2,1,2,3,3,3,5,Licenciatura em Geografia
34,Não,5,5,3,1,2,5,4,4,3,3,3,Direito
26,Não,5,5,3,1,1,5,4,5,5,5,4,Direito
41,Não,3,5,2,4,3,1,3,3,3,4,5,Psicologia
18,Sim,5,4,5,2,1,3,1,5,5,2,5,Ciência da Computação
41,Não,7,4,5,2,3,1,3,3,5,4,5,Administração
49,Sim,5,5,3,1,5,4,4,2,5,1,2,Administração
47,Não,3,4,2,5,1,1,4,2,4,5,5,Administração
30,Não,6,3,2,2,1,4,3,4,4,3,2,Direito
17,Sim,7,4,4,5,2,5,2,5,5,2,4,Ciência da Computação
32,Sim,6,5,2,2,3,1,1,4,4,1,1,Administração
19,Não,4,2,5,5,2,2,5,3,4,4,2,Administração
22,Não,3,5,1,4,1,1,3,1,4,3,1,Administração
41,Não,4,2,3,2,3,3,1,3,2,2,3,Comunicação Social
29,Não,4,4,4,2,3,1,3,4,3,5,5,Direito
50,Não,4,4,2,3,5,1,1,2,1,1,3,Licenciatura em Matemática
24,Não,4,2,3,2,2,5,2,4,2,5,2,Direito
37,Sim,3,5,3,3,5,3,2,2,2,1,5,Educação Física
50,Não,6,1,3,1,2,1,1,3,5,1,2,Administração
20,Não,5,1,5,3,2,2,1,1,1,4,5,Educação Física
41,Não,4,5,4,1,3,5,1,4,5,5,3,Direito
31,Sim,5,4,1,2,3,4,3,4,2,5,5,Direito
20,Sim,5,2,4,3,4,3,4,4,5,1,4,Administração
28,Sim,4,2,2,1,1,3,5,3,5,4,5,Administração
48,Não,7,5,4,3,5,5,3,4,4,5,3,Direito
48,Sim,5,5,5,1,4,4,2,2,2,2,3,Licenciatura em Matemática
44,Não,7,3,1,3,5,5,2,3,2,2,3,Psicologia
29,Não,6,2,4,1,5,3,1,2,4,5,2,Administração
47,Não,5,3,2,5,1,5,2,1,4,4,1,Odontologia
30,Não,3,4,4,2,5,5,1,1,2,2,1,Engenharia
36,Não,6,2,5,2,5,5,2,3,5,1,5,Administração
34,Não,6,5,3,3,3,3,3,2,2,5,4,Educação Física
45,Não,7,5,5,1,3,1,1,1,4,2,3,Administração
22,Sim,4,4,5,5,3,4,4,1,1,1,3,Ciência da Computação
48,Sim,3,1,5,2,1,3,4,4,4,2,4,Administração
45,Sim,3,3,1,3,3,1,5,1,3,3,2,Design
18,Não,7,5,4,2,4,4,3,4,3,2,2,Comunicação Social
39,Sim,7,2,2,5,4,5,3,5,2,3,1,Odontologia
35,Não,6,2,3,2,4,1,4,4,3,1,2,Design
47,Sim,7,2,3,4,1,2,1,5,3,1,1,Psicologia
21,Sim,4,4,1,5,2,4,4,4,1,4,1,Medicina
35,Não,6,1,2,1,2,1,2,1,5,4,1,Administração
50,Sim,6,3,3,5,4,4,3,3,5,1,1,Odontologia
26,Não,6,2,2,3,2,5,5,1,5,5,2,Administração
41,Sim,3,2,2,1,5,2,5,4,2,5,3,Direito
18,Sim,3,5,4,2,1,1,3,4,1,4,1,Ciência da Computação
27,Sim,6,1,1,5,4,3,5,2,2,3,1,Medicina
47,Não,4,5,5,1,4,4,4,5,1,2,1,Design
31,Não,5,4,5,2,4,1,5,5,5,4,5,Direito
25,Sim,6,4,3,5,5,5,2,2,1,3,2,Engenharia
39,Sim,7,3,3,1,3,4,1,3,3,1,2,Direito
35,Não,5,4,1,3,4,1,5,5,5,1,5,Administração
25,Sim,3,3,4,2,2,5,5,1,4,5,2,Ciência da Computação
37,Sim,3,5,3,2,3,4,2,3,1,5,5,Licenciatura em Matemática
25,Não,5,2,3,3,5,5,2,5,3,5,1,Direito
44,Sim,7,2,2,3,4,1,2,2,4,2,3,Administração
23,Sim,3,1,1,3,3,1,3,3,4,1,2,Administração
32,Não,3,4,5,1,4,3,3,5,5,3,1,Direito
32,Não,6,1,1,3,4,5,4,1,3,3,3,Design
49,Não,4,1,5,4,5,4,2,2,4,3,2,Odontologia
20,Não,7,2,2,1,2,4,4,5,4,2,5,Administração
20,Sim,6,4,4,3,5,3,4,1,4,2,3,Engenharia
33,Não,4,2,5,3,5,2,2,3,5,1,2,Administração
45,Não,3,1,2,4,2,3,5,4,1,4,1,Direito
23,Sim,4,4,4,5,3,4,5,3,5,5,3,Ciência da Computação
43,Não,3,2,2,3,5,5,5,4,5,2,5,Administração
44,Não,6,3,4,2,4,3,1,3,2,2,2,Psicologia
38,Sim,3,3,3,3,5,5,3,1,1,5,3,Educação Física
30,Não,4,5,4,1,2,2,4,2,2,2,2,Design
23,Não,6,5,5,1,3,4,4,4,1,2,3,Design
38,Sim,4,4,4,3,2,2,1,3,5,2,5,Administração
21,Não,4,5,1,1,4,5,2,3,4,2,1,Administração
18,Não,5,4,4,2,3,2,1,3,2,2,1,Administração
43,Sim,3,1,2,3,5,1,2,2,4,5,1,Administração
37,Sim,3,3,5,2,3,5,5,3,5,2,3,Administração
31,Não,4,4,3,4,5,3,4,5,1,1,5,Medicina
37,Não,3,1,3,5,5,5,2,5,1,5,3,Odontologia
26,Não,7,3,2,4,1,3,1,4,3,2,5,Medicina
39,Sim,3,2,3,3,5,2,3,3,1,2,1,Psicologia
21,Não,6,1,5,5,5,4,2,4,1,4,3,Medicina
17,Não,3,2,2,3,5,1,4,4,5,3,2,Direito
29,Sim,7,5,5,5,1,2,4,2,1,1,3,Ciência da Computação
37,Não,4,4,3,3,3,5,4,4,5,3,5,Direito
42,Não,3,3,3,5,1,4,3,3,3,3,4,Odontologia
37,Não,6,5,1,2,2,3,3,3,3,5,2,Licenciatura em Matemática
34,Sim,7,1,2,1,5,5,5,1,1,4,4,Design
48,Sim,5,5,4,3,1,2,5,4,2,4,3,Direito
33,Não,4,2,2,4,1,2,3,2,2,3,5,Educação Física
27,Não,4,2,5,4,3,4,5,3,4,2,1,Medicina
37,Sim,4,4,3,3,3,5,4,4,4,1,2,Administração
42,Não,7,5,1,2,3,5,1,3,3,2,2,Licenciatura em Matemática
20,Sim,3,3,2,3,4,3,3,3,5,3,4,Administração
50,Sim,3,2,5,5,3,2,5,2,4,2,4,Administração
34,Sim,3,1,1,1,5,1,2,1,4,4,4,Administração
45,Sim,3,5,1,2,1,2,3,5,4,1,5,Administração
45,Sim,4,3,1,1,2,1,1,2,3,2,1,Licenciatura em Matemática
37,Não,5,3,3,4,2,4,3,2,5,1,1,Odontologia
29,Sim,4,3,5,1,2,4,5,3,5,5,3,Ciência da Computação
33,Não,5,3,1,1,5,2,3,1,3,3,5,Licenciatura em Geografia
25,Não,5,2,3,3,1,2,2,1,2,4,4,Educação Física
17,Não,3,4,3,4,4,1,2,5,4,2,1,Administração
18,Sim,6,5,3,1,4,2,2,1,3,3,5,Engenharia
45,Não,7,2,2,5,3,4,4,4,2,2,1,Odontologia
49,Não,6,4,3,1,4,4,4,5,2,5,5,Direito
26,Não,5,3,5,3,1,3,1,5,2,4,5,Direito
37,Sim,6,1,4,2,3,1,2,5,2,1,1,Comunicação Social
44,Não,5,3,2,2,5,5,5,2,4,3,4,Administração
27,Sim,4,4,1,2,2,2,4,5,2,1,1,Design
50,Sim,4,4,3,5,2,4,5,1,3,5,5,Odontologia
24,Não,3,1,2,1,3,1,4,4,5,1,5,Administração
38,Não,7,2,2,4,3,3,5,1,5,1,5,Administração
24,Sim,4,1,5,1,3,1,4,2,2,1,2,Design
31,Sim,7,3,1,2,1,2,3,5,2,3,2,Direito
33,Não,3,5,4,2,3,5,4,1,1,2,2,Design
39,Não,7,2,4,4,1,1,5,5,2,2,4,Design
40,Não,4,5,2,1,3,2,4,2,3,4,3,Design
35,Não,4,5,2,2,1,3,5,4,5,5,5,Direito
21,Não,6,2,1,4,1,1,1,2,1,5,3,Educação Física
48,Sim,6,3,2,3,4,2,4,1,2,1,2,Design
17,Sim,6,4,3,2,4,1,4,2,5,5,4,Engenharia
39,Sim,7,3,4,3,3,1,2,1,4,2,4,Administração
24,Sim,4,4,3,1,3,3,4,3,2,4,2,Design
29,Sim,3,4,5,5,1,1,2,1,5,5,5,Ciência da Computação
24,Não,5,2,2,1,1,3,1,5,5,5,4,Direito
39,Sim,4,2,1,5,4,1,1,3,4,4,5,Administração
17,Não,6,1,5,4,5,4,2,4,5,3,5,Medicina
40,Sim,6,5,5,5,2,5,2,5,3,5,2,Odontologia
40,Sim,7,5,1,4,2,5,1,1,3,5,2,Odontologia
33,Não,6,5,5,2,5,4,4,3,4,4,2,Administração
21,Sim,7,5,3,1,5,5,4,5,5,1,2,Engenharia
36,Sim,3,1,5,4,2,3,5,4,4,4,4,Direito
37,Sim,6,4,1,1,4,2,4,2,5,2,2,Administração
47,Sim,7,1,4,1,2,3,5,1,3,5,2,Design
27,Não,6,2,2,4,5,2,2,3,1,3,3,Psicologia
31,Sim,7,3,1,4,2,3,2,2,3,3,3,Medicina
35,Sim,4,4,3,5,2,3,3,2,5,1,2,Administração
23,Sim,7,4,3,2,5,2,4,3,3,4,5,Engenharia
44,Sim,5,1,4,2,4,4,5,3,5,3,2,Administração
21,Sim,3,2,3,3,2,4,1,4,4,3,3,Direito
21,Sim,4,2,1,5,3,4,2,3,2,3,1,Medicina
